semana_epi,edad_65_mas
2016-01-31,4107
2016-02-07,4179
2016-02-14,4296
2016-02-21,4561
2016-02-28,4363
2016-03-06,4806
2016-03-13,5653
2016-03-20,6711
2016-03-27,6892
2016-04-03,6502
2016-04-10,6271
2016-04-17,5949
2016-04-24,6528
2016-05-01,6640
2016-05-08,6842
2016-05-15,6986
2016-05-22,7706
2016-05-29,7328
2016-06-05,8269
2016-06-12,8774
2016-06-19,9783
2016-06-26,11527
2016-07-03,12372
2016-07-10,12359
2016-07-17,13614
2016-07-24,13192
2016-07-31,12261
2016-08-07,11838
2016-08-14,12494
2016-08-21,11463
2016-08-28,11113
2016-09-04,11206
2016-09-11,10339
2016-09-18,11463
2016-09-25,10165
2016-10-02,8754
2016-10-09,8882
2016-10-16,7729
2016-10-23,7658
2016-10-30,7794
2016-11-06,6994
2016-11-13,6214
2016-11-20,6079
2016-11-27,5787
2016-12-04,5959
2016-12-11,5609
2016-12-18,5276
2016-12-25,5439
2017-01-01,5662
2017-01-08,4978
2017-01-15,4475
2017-01-22,4568
2017-01-29,4582
2017-02-05,4461
2017-02-12,4411
2017-02-19,4447
2017-02-26,4455
2017-03-05,4784
2017-03-12,5767
2017-03-19,6801
2017-03-26,7212
2017-04-02,7136
2017-04-09,7340
2017-04-16,7170
2017-04-23,6859
2017-04-30,7278
2017-05-07,7006
2017-05-14,7497
2017-05-21,10017
2017-05-28,11846
2017-06-04,13653
2017-06-11,13534
2017-06-18,13453
2017-06-25,14479
2017-07-02,11774
2017-07-09,11065
2017-07-16,11628
2017-07-23,10705
2017-07-30,9871
2017-08-06,9190
2017-08-13,10496
2017-08-20,10156
2017-08-27,9736
2017-09-03,9622
2017-09-10,9746
2017-09-17,11785
2017-09-24,10370
2017-10-01,8643
2017-10-08,8753
2017-10-15,7937
2017-10-22,8370
2017-10-29,7697
2017-11-05,7384
2017-11-12,7095
2017-11-19,6895
2017-11-26,6635
2017-12-03,6488
2017-12-10,6175
2017-12-17,5880
2017-12-24,6144
2017-12-31,5807
2018-01-07,5301
2018-01-14,4909
2018-01-21,4569
2018-01-28,4591
2018-02-04,4294
2018-02-11,4797
2018-02-18,4856
2018-02-25,5122
2018-03-04,5398
2018-03-11,6088
2018-03-18,7489
2018-03-25,8474
2018-04-01,7775
2018-04-08,6930
2018-04-15,6868
2018-04-22,6695
2018-04-29,7541
2018-05-06,7141
2018-05-13,7043
2018-05-20,8563
2018-05-27,8200
2018-06-03,8799
2018-06-10,9267
2018-06-17,10508
2018-06-24,11067
2018-07-01,11933
2018-07-08,12963
2018-07-15,13171
2018-07-22,12808
2018-07-29,12031
2018-08-05,12004
2018-08-12,13221
2018-08-19,11711
2018-08-26,11448
2018-09-02,11311
2018-09-09,10695
2018-09-16,11660
2018-09-23,10419
2018-09-30,9160
2018-10-07,8069
2018-10-14,8614
2018-10-21,8394
2018-10-28,8152
2018-11-04,7640
2018-11-11,6982
2018-11-18,6673
2018-11-25,6375
2018-12-02,6231
2018-12-09,6191
2018-12-16,5784
2018-12-23,6021
2018-12-30,5879
2019-01-06,5387
2019-01-13,4688
2019-01-20,4578
2019-01-27,4353
2019-02-03,4329
2019-02-10,4567
2019-02-17,4630
2019-02-24,4828
2019-03-03,5202
2019-03-10,6073
2019-03-17,7510
2019-03-24,8291
2019-03-31,7969
2019-04-07,7226
2019-04-14,7474
2019-04-21,7971
2019-04-28,8361
2019-05-05,8068
2019-05-12,9377
2019-05-19,11263
2019-05-26,11282
2019-06-02,12249
2019-06-09,11486
2019-06-16,11866
2019-06-23,10488
2019-06-30,11220
2019-07-07,11344
2019-07-14,11940
2019-07-21,11314
2019-07-28,10787
2019-08-04,9882
2019-08-11,11035
2019-08-18,11434
2019-08-25,11715
2019-09-01,11408
2019-09-08,11367
2019-09-15,13214
2019-09-22,12872
2019-09-29,10085
2019-10-06,10113
2019-10-13,9013
2019-10-20,7799
2019-10-27,8156
2019-11-03,7177
2019-11-10,6061
2019-11-17,5657
2019-11-24,5400
2019-12-01,5439
2019-12-08,5725
2019-12-15,5750
2019-12-22,6138
2019-12-29,6241
2020-01-05,5864
2020-01-12,4907
2020-01-19,4798
2020-01-26,4663
2020-02-02,4553
2020-02-09,4721
2020-02-16,4939
2020-02-23,5381
2020-03-01,5680
2020-03-08,6204
2020-03-15,6940
2020-03-22,4903
2020-03-29,3809
2020-04-05,3073
2020-04-12,2664
2020-04-19,2475
2020-04-26,2469
2020-05-03,2342
2020-05-10,2207
2020-05-17,2412
2020-05-24,2465
2020-05-31,2239
2020-06-07,1979
2020-06-14,1817
2020-06-21,1672
2020-06-28,1680
2020-07-05,1712
2020-07-12,1655
2020-07-19,1693
2020-07-26,1747
2020-08-02,1821
2020-08-09,1752
2020-08-16,1816
2020-08-23,1732
2020-08-30,1892
2020-09-06,1987
2020-09-13,1746
2020-09-20,2303
2020-09-27,1975
2020-10-04,2023
2020-10-11,2059
2020-10-18,2023
2020-10-25,1996
2020-11-01,2068
2020-11-08,2014
2020-11-15,2095
2020-11-22,2059
2020-11-29,2175
2020-12-06,2121
2020-12-13,2058
2020-12-20,2045
2020-12-27,2227
2021-01-03,2237
2021-01-10,2066
2021-01-17,1973
2021-01-24,1880
2021-01-31,1909
2021-02-07,1950
2021-02-14,1888
2021-02-21,2043
2021-02-28,2052
2021-03-07,2175
2021-03-14,2014
2021-03-21,1933
2021-03-28,1962
2021-04-04,1834
2021-04-11,1871
2021-04-18,1707
2021-04-25,1789
2021-05-02,1824
2021-05-09,1829
2021-05-16,1991
2021-05-23,2136
2021-05-30,2247
2021-06-06,2262
2021-06-13,2242
2021-06-20,2154
2021-06-27,2345
2021-07-04,2278
2021-07-11,2391
2021-07-18,2730
2021-07-25,2532
2021-08-01,2714
2021-08-08,2732
2021-08-15,2583
2021-08-22,2677
2021-08-29,2755
2021-09-05,2597
2021-09-12,2523
2021-09-19,3229
2021-09-26,2996
2021-10-03,3038
2021-10-10,3154
2021-10-17,3147
2021-10-24,3176
2021-10-31,3402
2021-11-07,3357
2021-11-14,3483
2021-11-21,3481
2021-11-28,3439
2021-12-05,3381
2021-12-12,3448
2021-12-19,3352
2021-12-26,3777
2022-01-02,4186
2022-01-09,4206
2022-01-16,4458
2022-01-23,4834
2022-01-30,5067
2022-02-06,5167
2022-02-13,5022
2022-02-20,4503
2022-02-27,3772
2022-03-06,3277
2022-03-13,3185
2022-03-20,3281
2022-03-27,3551
2022-04-03,3469
2022-04-10,3512
2022-04-17,3817
2022-04-24,4030
2022-05-01,4621
2022-05-08,5183
2022-05-15,5851
2022-05-22,6376
2022-05-29,6627
2022-06-05,8138
2022-06-12,7690
2022-06-19,8528
2022-06-26,9094
2022-07-03,8405
2022-07-10,7826
2022-07-17,7724
2022-07-24,7326
2022-07-31,6406
2022-08-07,7064
2022-08-14,7643
2022-08-21,7892
2022-08-28,7771
2022-09-04,7752
2022-09-11,6947
2022-09-18,8266
2022-09-25,8554
2022-10-02,7447
2022-10-09,8671
2022-10-16,9458
2022-10-23,10114
2022-10-30,12413
2022-11-06,11604
2022-11-13,10529
2022-11-20,9794
2022-11-27,8953
2022-12-04,8595
2022-12-11,8030
2022-12-18,7560
2022-12-25,8285
2023-01-01,7921
2023-01-08,6571
2023-01-15,5487
2023-01-22,4860
2023-01-29,4589
2023-02-05,4583
2023-02-12,4641
2023-02-19,5107
2023-02-26,5473
2023-03-05,5893
2023-03-12,6769
2023-03-19,7883
2023-03-26,7993
2023-04-02,7434
2023-04-09,7663
2023-04-16,7307
2023-04-23,7303
2023-04-30,8938
2023-05-07,11146
2023-05-14,11350
2023-05-21,11036
2023-05-28,11529
2023-06-04,10870
2023-06-11,10562
2023-06-18,10593
2023-06-25,11254
2023-07-02,9691
2023-07-09,9106
2023-07-16,8569
2023-07-23,9014
2023-07-30,9142
2023-08-06,9718
2023-08-13,10817
2023-08-20,9962
2023-08-27,10358
2023-09-03,9889
2023-09-10,10597
2023-09-17,13259
2023-09-24,14593
2023-10-01,13051
2023-10-08,14051
2023-10-15,13687
2023-10-22,13186
2023-10-29,12724
2023-11-05,11638
2023-11-12,11039
2023-11-19,11037
2023-11-26,10565
2023-12-03,9800
2023-12-10,9344
2023-12-17,9359
2023-12-24,9578
2023-12-31,8829
2024-01-07,7910
2024-01-14,7015
2024-01-21,7065
2024-01-28,6847
2024-02-04,7501
2024-02-11,7749
2024-02-18,8065
2024-02-25,8195
2024-03-03,7680
2024-03-10,7899
2024-03-17,8343
2024-03-24,9188
2024-03-31,8806
2024-04-07,8306
2024-04-14,8755
2024-04-21,9829
2024-04-28,11456
2024-05-05,12746
2024-05-12,15423
2024-05-19,17090
2024-05-26,14443
2024-06-02,11897
2024-06-09,8870
2024-06-16,7669
2024-06-23,8305
2024-06-30,8520
2024-07-07,8381
2024-07-14,9798
2024-07-21,10037
2024-07-28,10393
2024-08-04,11274
2024-08-11,13248
2024-08-18,12269
2024-08-25,12962
2024-09-01,12641
2024-09-08,12828
2024-09-15,13761
2024-09-22,14072
2024-09-29,12137
2024-10-06,11042
2024-10-13,11123
2024-10-20,10947
2024-10-27,12249
2024-11-03,11281
2024-11-10,10409
2024-11-17,10557
2024-11-24,11381
2024-12-01,12111
2024-12-08,11457
2024-12-15,10284
2024-12-22,9986
2024-12-29,9040
2025-01-05,7599
2025-01-12,6300
2025-01-19,5997
2025-01-26,5683
2025-02-02,5412
2025-02-09,5646
2025-02-16,6138
2025-02-23,6327
2025-03-02,6644
2025-03-09,7028
2025-03-16,8767
2025-03-23,10378
2025-03-30,10205
2025-04-06,10417
2025-04-13,11021
2025-04-20,12154
2025-04-27,13194
2025-05-04,13547
2025-05-11,13829
2025-05-18,15663
2025-05-25,13888
2025-06-01,14163
2025-06-08,13824
2025-06-15,13845
2025-06-22,13944
2025-06-29,13483
2025-07-06,12200
2025-07-13,11217
2025-07-20,11215
