semana_epi,casos_total
2016-01-31,46978
2016-02-07,49996
2016-02-14,52036
2016-02-21,52347
2016-02-28,52079
2016-03-06,68603
2016-03-13,101162
2016-03-20,106033
2016-03-27,95599
2016-04-03,94211
2016-04-10,93797
2016-04-17,87470
2016-04-24,99843
2016-05-01,101752
2016-05-08,107070
2016-05-15,111241
2016-05-22,118491
2016-05-29,112507
2016-06-05,130886
2016-06-12,139147
2016-06-19,153215
2016-06-26,162542
2016-07-03,160739
2016-07-10,149245
2016-07-17,138034
2016-07-24,129037
2016-07-31,134898
2016-08-07,152316
2016-08-14,160906
2016-08-21,147606
2016-08-28,142888
2016-09-04,143173
2016-09-11,126305
2016-09-18,129605
2016-09-25,115054
2016-10-02,108719
2016-10-09,109520
2016-10-16,101823
2016-10-23,94416
2016-10-30,87779
2016-11-06,77900
2016-11-13,76400
2016-11-20,76677
2016-11-27,74041
2016-12-04,74345
2016-12-11,66420
2016-12-18,60458
2016-12-25,60547
2017-01-01,58065
2017-01-08,50903
2017-01-15,48511
2017-01-22,46788
2017-01-29,45668
2017-02-05,46821
2017-02-12,45885
2017-02-19,45282
2017-02-26,43553
2017-03-05,57202
2017-03-12,97894
2017-03-19,109193
2017-03-26,101465
2017-04-02,102655
2017-04-09,105910
2017-04-16,101046
2017-04-23,98979
2017-04-30,110205
2017-05-07,110735
2017-05-14,129262
2017-05-21,158335
2017-05-28,169419
2017-06-04,181754
2017-06-11,173814
2017-06-18,167878
2017-06-25,160463
2017-07-02,131758
2017-07-09,118365
2017-07-16,103439
2017-07-23,92425
2017-07-30,95024
2017-08-06,110653
2017-08-13,126371
2017-08-20,119724
2017-08-27,114618
2017-09-03,117254
2017-09-10,111129
2017-09-17,116170
2017-09-24,102155
2017-10-01,94305
2017-10-08,100205
2017-10-15,94072
2017-10-22,96659
2017-10-29,92456
2017-11-05,87449
2017-11-12,88398
2017-11-19,86796
2017-11-26,80419
2017-12-03,76023
2017-12-10,70665
2017-12-17,65612
2017-12-24,66474
2017-12-31,57850
2018-01-07,51164
2018-01-14,48630
2018-01-21,45938
2018-01-28,44610
2018-02-04,43762
2018-02-11,47849
2018-02-18,48946
2018-02-25,51466
2018-03-04,63643
2018-03-11,112791
2018-03-18,127611
2018-03-25,107198
2018-04-01,92377
2018-04-08,89286
2018-04-15,90926
2018-04-22,93636
2018-04-29,96485
2018-05-06,94174
2018-05-13,103522
2018-05-20,120199
2018-05-27,106479
2018-06-03,115646
2018-06-10,118401
2018-06-17,131216
2018-06-24,139864
2018-07-01,138805
2018-07-08,133362
2018-07-15,127349
2018-07-22,108054
2018-07-29,103851
2018-08-05,120994
2018-08-12,144924
2018-08-19,135448
2018-08-26,127967
2018-09-02,125350
2018-09-09,118134
2018-09-16,111908
2018-09-23,99016
2018-09-30,94076
2018-10-07,97929
2018-10-14,102995
2018-10-21,97894
2018-10-28,90433
2018-11-04,87931
2018-11-11,83306
2018-11-18,83310
2018-11-25,80910
2018-12-02,74566
2018-12-09,71017
2018-12-16,64430
2018-12-23,63063
2018-12-30,57591
2019-01-06,51033
2019-01-13,45025
2019-01-20,42253
2019-01-27,40096
2019-02-03,39245
2019-02-10,41000
2019-02-17,41589
2019-02-24,43467
2019-03-03,50371
2019-03-10,83537
2019-03-17,114061
2019-03-24,103889
2019-03-31,95022
2019-04-07,94084
2019-04-14,100342
2019-04-21,108654
2019-04-28,116967
2019-05-05,119862
2019-05-12,148773
2019-05-19,165495
2019-05-26,149182
2019-06-02,161725
2019-06-09,164156
2019-06-16,158295
2019-06-23,140008
2019-06-30,140652
2019-07-07,131455
2019-07-14,123964
2019-07-21,97570
2019-07-28,91516
2019-08-04,107616
2019-08-11,136115
2019-08-18,138761
2019-08-25,134819
2019-09-01,135021
2019-09-08,131417
2019-09-15,127053
2019-09-22,117430
2019-09-29,101355
2019-10-06,111217
2019-10-13,103984
2019-10-20,73416
2019-10-27,67815
2019-11-03,57499
2019-11-10,49465
2019-11-17,52780
2019-11-24,55218
2019-12-01,60730
2019-12-08,63252
2019-12-15,59243
2019-12-22,56498
2019-12-29,53477
2020-01-05,49329
2020-01-12,43757
2020-01-19,40940
2020-01-26,40714
2020-02-02,40916
2020-02-09,41018
2020-02-16,43091
2020-02-23,45317
2020-03-01,51919
2020-03-08,80857
2020-03-15,103314
2020-03-22,50400
2020-03-29,32278
2020-04-05,23655
2020-04-12,18693
2020-04-19,16186
2020-04-26,15898
2020-05-03,16069
2020-05-10,16028
2020-05-17,17308
2020-05-24,16664
2020-05-31,14219
2020-06-07,12212
2020-06-14,10682
2020-06-21,9092
2020-06-28,9208
2020-07-05,9023
2020-07-12,9205
2020-07-19,9020
2020-07-26,8788
2020-08-02,9445
2020-08-09,9467
2020-08-16,10176
2020-08-23,10853
2020-08-30,11273
2020-09-06,12066
2020-09-13,11346
2020-09-20,14716
2020-09-27,13241
2020-10-04,13269
2020-10-11,13596
2020-10-18,13916
2020-10-25,14709
2020-11-01,15277
2020-11-08,15343
2020-11-15,16147
2020-11-22,16689
2020-11-29,16714
2020-12-06,16177
2020-12-13,15716
2020-12-20,14922
2020-12-27,16651
2021-01-03,17066
2021-01-10,15680
2021-01-17,14272
2021-01-24,13525
2021-01-31,12921
2021-02-07,12936
2021-02-14,13840
2021-02-21,15493
2021-02-28,17645
2021-03-07,19169
2021-03-14,20048
2021-03-21,20450
2021-03-28,18755
2021-04-04,18032
2021-04-11,17649
2021-04-18,16073
2021-04-25,15404
2021-05-02,16081
2021-05-09,17634
2021-05-16,20478
2021-05-23,22726
2021-05-30,23438
2021-06-06,24057
2021-06-13,23854
2021-06-20,22867
2021-06-27,23072
2021-07-04,22299
2021-07-11,22062
2021-07-18,24757
2021-07-25,24776
2021-08-01,25863
2021-08-08,28002
2021-08-15,28091
2021-08-22,29475
2021-08-29,28224
2021-09-05,29870
2021-09-12,28625
2021-09-19,35982
2021-09-26,34071
2021-10-03,35721
2021-10-10,38196
2021-10-17,41003
2021-10-24,42451
2021-10-31,45640
2021-11-07,46132
2021-11-14,47697
2021-11-21,44539
2021-11-28,42867
2021-12-05,40484
2021-12-12,39284
2021-12-19,38376
2021-12-26,44748
2022-01-02,53128
2022-01-09,51824
2022-01-16,54914
2022-01-23,56190
2022-01-30,54121
2022-02-06,49799
2022-02-13,44377
2022-02-20,38379
2022-02-27,33812
2022-03-06,44427
2022-03-13,68850
2022-03-20,77808
2022-03-27,70034
2022-04-03,67158
2022-04-10,67473
2022-04-17,78526
2022-04-24,78950
2022-05-01,93045
2022-05-08,104084
2022-05-15,119455
2022-05-22,121534
2022-05-29,122098
2022-06-05,131270
2022-06-12,128167
2022-06-19,120182
2022-06-26,103633
2022-07-03,85644
2022-07-10,70084
2022-07-17,66667
2022-07-24,70750
2022-07-31,84353
2022-08-07,111119
2022-08-14,115843
2022-08-21,109753
2022-08-28,104564
2022-09-04,100929
2022-09-11,87433
2022-09-18,99872
2022-09-25,95767
2022-10-02,101567
2022-10-09,127520
2022-10-16,142006
2022-10-23,153307
2022-10-30,161522
2022-11-06,149724
2022-11-13,144534
2022-11-20,131913
2022-11-27,114377
2022-12-04,101912
2022-12-11,91555
2022-12-18,75963
2022-12-25,74590
2023-01-01,66345
2023-01-08,54791
2023-01-15,47517
2023-01-22,43284
2023-01-29,40638
2023-02-05,41397
2023-02-12,44948
2023-02-19,48994
2023-02-26,53186
2023-03-05,76668
2023-03-12,130495
2023-03-19,124671
2023-03-26,111225
