semana_epi,edad_5_14
2009-12-27,2327
2010-01-03,22076
2010-01-10,13237
2010-01-17,6910
2010-01-24,7341
2010-01-31,12398
2010-02-07,23777
2010-02-14,6726
2010-02-21,5958
2010-02-28,12242
2010-03-07,24020
2010-03-14,12531
2010-03-21,16894
2010-03-28,12929
2010-04-04,28092
2010-04-11,17227
2010-04-18,18347
2010-04-25,18568
2010-05-02,17002
2010-05-09,26634
2010-05-16,21364
2010-05-23,21766
2010-05-30,15562
2010-06-06,27378
2010-06-13,21216
2010-06-20,22174
2010-06-27,19345
2010-07-04,27167
2010-07-11,18283
2010-07-18,13947
2010-07-25,14019
2010-08-01,14574
2010-08-08,31638
2010-08-15,54930
2010-08-22,60767
2010-08-29,34059
2010-09-05,28122
2010-09-12,34267
2010-09-19,35956
2010-09-26,24212
2010-10-03,24035
2010-10-10,19856
2010-10-17,22465
2010-10-24,21286
2010-10-31,13756
2010-11-07,26085
2010-11-14,19697
2010-11-21,19420
2010-11-28,15023
2010-12-05,28740
2010-12-12,14020
2010-12-19,11235
2010-12-26,11024
2011-01-02,16902
2011-01-09,15042
2011-01-16,10080
2011-01-23,10134
2011-01-30,13223
2011-02-06,20098
2011-02-13,8724
2011-02-20,8040
2011-02-27,13206
2011-03-06,20429
2011-03-13,21096
2011-03-20,22384
2011-03-27,18150
2011-04-03,19374
2011-04-10,16896
2011-04-17,17487
2011-04-24,19635
2011-05-01,16842
2011-05-08,20456
2011-05-15,26320
2011-05-22,28285
2011-05-29,20872
2011-06-05,20957
2011-06-12,23221
2011-06-19,23402
2011-06-26,19824
2011-07-03,18484
2011-07-10,15769
2011-07-17,13907
2011-07-24,13625
2011-07-31,15590
2011-08-07,19553
2011-08-14,22805
2011-08-21,21902
2011-08-28,18644
2011-09-04,21120
2011-09-11,17159
2011-09-18,20465
2011-09-25,19916
2011-10-02,17973
2011-10-09,19266
2011-10-16,21219
2011-10-23,20758
2011-10-30,15295
2011-11-06,20764
2011-11-13,19399
2011-11-20,19359
2011-11-27,16658
2011-12-04,21843
2011-12-11,14550
2011-12-18,12353
2011-12-25,11246
2012-01-01,10949
2012-01-08,10016
2012-01-15,9196
2012-01-22,8801
2012-01-29,8380
2012-02-05,8363
2012-02-12,7957
2012-02-19,7969
2012-02-26,7575
2012-03-04,9343
2012-03-11,17774
2012-03-18,21977
2012-03-25,20389
2012-04-01,17854
2012-04-08,18430
2012-04-15,20144
2012-04-22,19959
2012-04-29,19684
2012-05-06,19361
2012-05-13,24071
2012-05-20,27176
2012-05-27,27901
2012-06-03,31677
2012-06-10,34556
2012-06-17,36374
2012-06-24,35180
2012-07-01,28091
2012-07-08,22569
2012-07-15,18138
2012-07-22,14589
2012-07-29,16251
2012-08-05,23335
2012-08-12,28152
2012-08-19,27034
2012-08-26,28184
2012-09-02,27533
2012-09-09,26389
2012-09-16,22698
