semana_epi,casos_total,edad_menor_5,edad_5_14,edad_15_64,edad_65_mas
2023-01-22,43284,9879,6964,21581,4860
2023-01-29,40638,8945,6922,20182,4589
2023-02-05,41397,8839,7313,20662,4583
2023-02-12,44948,9511,8049,22747,4641
2023-02-19,48994,9857,8338,25692,5107
2023-02-26,53186,10053,9506,28154,5473
2023-03-05,76668,15546,21807,33422,5893
2023-03-12,130495,28344,44405,50977,6769
2023-03-19,124671,27035,35980,53773,7883
2023-03-26,111225,26468,30730,46034,7993
2023-04-02,104268,26144,29699,40991,7434
2023-04-09,112541,28334,33639,42905,7663
2023-04-16,124263,30641,41140,45175,7307
2023-04-23,139010,31999,49554,50154,7303
2023-04-30,159489,36885,52175,61491,8938
2023-05-07,172501,39240,50582,71533,11146
2023-05-14,189297,44762,59326,73859,11350
2023-05-21,180953,43983,56199,69735,11036
2023-05-28,172996,41401,52174,67892,11529
2023-06-04,152101,36671,41146,63414,10870
2023-06-11,135528,30402,34071,60493,10562
2023-06-18,111927,22675,24833,53826,10593
2023-06-25,93403,19430,16324,46395,11254
2023-07-02,75663,14573,11061,40338,9691
2023-07-09,67235,12047,8959,37123,9106
2023-07-16,69580,10783,10917,39311,8569
2023-07-23,79770,14050,15771,40935,9014
2023-07-30,94281,19072,21989,44078,9142
2023-08-06,111892,22498,28422,51254,9718
2023-08-13,115571,23249,27028,54477,10817
2023-08-20,103875,19775,24685,49453,9962
2023-08-27,107101,19913,26629,50201,10358
2023-09-03,112832,22061,29704,51178,9889
2023-09-10,116875,23743,28991,53544,10597
2023-09-17,132660,27329,28921,63151,13259
2023-09-24,134980,25065,30265,65057,14593
2023-10-01,131936,25230,34209,59446,13051
2023-10-08,144264,27492,37530,65191,14051
2023-10-15,141503,26643,36153,65020,13687
2023-10-22,133605,24760,33805,61854,13186
2023-10-29,125307,22656,30917,59010,12724
2023-11-05,119211,21794,29929,55850,11638
2023-11-12,120122,22606,31989,54488,11039
2023-11-19,115798,21761,31076,51924,11037
2023-11-26,106908,21095,28217,47031,10565
2023-12-03,102404,20505,26115,45984,9800
2023-12-10,91826,18515,20166,43801,9344
2023-12-17,83669,16637,16145,41528,9359
2023-12-24,77774,14574,12938,40684,9578
2023-12-31,65156,11389,9879,35059,8829
2024-01-07,58405,9880,8825,31790,7910
2024-01-14,53295,8725,7881,29674,7015
2024-01-21,50942,7980,7513,28384,7065
2024-01-28,49679,7427,7508,27897,6847
2024-02-04,53396,7705,7850,30340,7501
2024-02-11,54335,7697,7672,31217,7749
2024-02-18,55207,7528,7308,32306,8065
2024-02-25,55612,7331,7496,32590,8195
2024-03-03,60987,8979,11103,33225,7680
2024-03-10,97459,19095,29425,41040,7899
2024-03-17,128021,24406,40278,54994,8343
2024-03-24,104311,18930,26488,49705,9188
2024-03-31,102746,19082,25156,49702,8806
2024-04-07,106439,20104,28865,49164,8306
2024-04-14,124290,21798,35993,57744,8755
2024-04-21,143265,22405,41955,69076,9829
2024-04-28,160957,22645,44710,82146,11456
2024-05-05,171509,21802,44585,92376,12746
2024-05-12,203353,25027,53727,109176,15423
2024-05-19,188234,23137,40155,107852,17090
2024-05-26,145518,18780,32164,80131,14443
2024-06-02,125438,19249,31087,63205,11897
2024-06-09,97910,18541,23270,47229,8870
2024-06-16,78571,16723,15297,38882,7669
2024-06-23,70981,15449,11337,35890,8305
2024-06-30,63949,11977,8802,34650,8520
2024-07-07,67356,11476,11846,35653,8381
2024-07-14,84371,16811,16325,41437,9798
2024-07-21,104963,21972,25670,47284,10037
2024-07-28,115499,24386,31687,49033,10393
2024-08-04,119064,25991,29665,52134,11274
2024-08-11,124938,27583,29074,55033,13248
2024-08-18,130907,27572,33380,57686,12269
2024-08-25,127521,26133,33374,55052,12962
2024-09-01,127900,25815,34460,54984,12641
2024-09-08,127925,25707,32542,56848,12828
2024-09-15,121800,25320,25704,57015,13761
2024-09-22,126500,20407,28994,63027,14072
2024-09-29,115257,19247,29253,54620,12137
2024-10-06,121317,21325,33087,55863,11042
2024-10-13,126642,21863,35378,58278,11123
2024-10-20,125028,20739,33574,59768,10947
2024-10-27,120043,19990,29256,58548,12249
2024-11-03,117849,18056,29380,59132,11281
2024-11-10,114917,18489,30618,55401,10409
2024-11-17,118730,18825,32311,57037,10557
2024-11-24,120315,18787,31567,58580,11381
2024-12-01,122370,18228,30427,61604,12111
2024-12-08,107322,16223,22256,57386,11457
2024-12-15,88580,13467,15144,49685,10284
2024-12-22,75340,11206,10863,43285,9986
2024-12-29,63131,8955,8717,36419,9040
2025-01-05,52050,7419,6823,30209,7599
2025-01-12,43429,6230,5986,24913,6300
2025-01-19,40140,5699,5234,23210,5997
2025-01-26,37134,5061,4930,21460,5683
2025-02-02,36599,4826,4931,21430,5412
2025-02-09,37342,5033,4924,21739,5646
2025-02-16,41010,5236,5251,24385,6138
2025-02-23,40773,5074,5416,23956,6327
2025-03-02,46095,5947,7293,26211,6644
2025-03-09,78022,14153,21624,35217,7028
2025-03-16,120203,22078,36563,52795,8767
2025-03-23,115982,18588,28965,58051,10378
2025-03-30,102459,16252,24166,51836,10205
2025-04-06,102721,16062,26457,49785,10417
2025-04-13,111514,17339,29536,53618,11021
2025-04-20,120023,18020,31056,58793,12154
2025-04-27,125210,18606,32315,61095,13194
2025-05-04,126079,17801,29754,64977,13547
2025-05-11,131529,18784,33126,65790,13829
2025-05-18,139705,21253,33521,69268,15663
2025-05-25,127223,19809,30301,63225,13888
2025-06-01,129718,21460,30472,63623,14163
2025-06-08,126322,22908,28807,60783,13824
2025-06-15,111732,22007,19854,56026,13845
2025-06-22,98038,18860,14097,51137,13944
2025-06-29,81891,13197,9612,45599,13483
2025-07-06,77500,11652,11356,42292,12200
2025-07-13,88542,17319,17588,42418,11217
2025-07-20,107500,23836,26312,46137,11215
2025-07-27,111292,24453,29757,46199,10883
2025-08-03,120338,25406,30736,51897,12299
2025-08-10,126563,27487,30961,54881,13234
2025-08-17,121995,25319,30452,54196,12028
2025-08-24,120728,24236,29959,53753,12780
2025-08-31,119267,23905,29983,52863,12516
2025-09-07,124873,24283,29652,57164,13774
2025-09-14,114374,22676,21508,55685,14505
2025-09-21,121544,19527,23241,62810,15966
2025-09-28,113234,19302,26292,53504,14136
2025-10-05,123198,22007,32998,55001,13192
2025-10-12,127831,21931,34663,57890,13347
2025-10-19,131703,21432,36086,60721,13464
2025-10-26,129832,20825,34497,60286,14224
2025-11-02,128065,19385,33057,61533,14090
2025-11-09,123511,19110,32575,58197,13629
2025-11-16,115717,18261,30011,55058,12387
2025-11-23,102872,16159,26036,48776,11901
2025-11-30,93904,15386,22118,45316,11084
2025-12-07,84066,14191,16193,42648,11034
2025-12-14,76742,12855,11669,41889,10329
2025-12-21,69387,11003,9000,39357,10027
2025-12-28,36326,5601,4537,20639,5549
