semana_epi,edad_menor_5
2016-01-31,12658
2016-02-07,13380
2016-02-14,13627
2016-02-21,13462
2016-02-28,13267
2016-03-06,19105
2016-03-13,29818
2016-03-20,30865
2016-03-27,27373
2016-04-03,28254
2016-04-10,28184
2016-04-17,26607
2016-04-24,31148
2016-05-01,31988
2016-05-08,34782
2016-05-15,37702
2016-05-22,40162
2016-05-29,38183
2016-06-05,44817
2016-06-12,46928
2016-06-19,50332
2016-06-26,52501
2016-07-03,48831
2016-07-10,44817
2016-07-17,36266
2016-07-24,30789
2016-07-31,34266
2016-08-07,42059
2016-08-14,45101
2016-08-21,38924
2016-08-28,38019
2016-09-04,38244
2016-09-11,33098
2016-09-18,34563
2016-09-25,30707
2016-10-02,29695
2016-10-09,30135
2016-10-16,28250
2016-10-23,26333
2016-10-30,24956
2016-11-06,21592
2016-11-13,21289
2016-11-20,20534
2016-11-27,21790
2016-12-04,22245
2016-12-11,19866
2016-12-18,17777
2016-12-25,17166
2017-01-01,16013
2017-01-08,13865
2017-01-15,12723
2017-01-22,12108
2017-01-29,11400
2017-02-05,11569
2017-02-12,11260
2017-02-19,10758
2017-02-26,10285
2017-03-05,15244
2017-03-12,31616
2017-03-19,33416
2017-03-26,32203
2017-04-02,33916
2017-04-09,35923
2017-04-16,35079
2017-04-23,33482
2017-04-30,37242
2017-05-07,35642
2017-05-14,40270
2017-05-21,43750
2017-05-28,43727
2017-06-04,45551
2017-06-11,43534
2017-06-18,44550
2017-06-25,47599
2017-07-02,42629
2017-07-09,40261
2017-07-16,31555
2017-07-23,25649
2017-07-30,27771
2017-08-06,34259
2017-08-13,38416
2017-08-20,33842
2017-08-27,31968
2017-09-03,32775
2017-09-10,29950
2017-09-17,31696
2017-09-24,25394
2017-10-01,25613
2017-10-08,28181
2017-10-15,25964
2017-10-22,26687
2017-10-29,24402
2017-11-05,23107
2017-11-12,25027
2017-11-19,24662
2017-11-26,22468
2017-12-03,22158
2017-12-10,20870
2017-12-17,19657
2017-12-24,19361
2017-12-31,15775
2018-01-07,13652
2018-01-14,12610
2018-01-21,11790
2018-01-28,11142
2018-02-04,10840
2018-02-11,11262
2018-02-18,11123
2018-02-25,11875
2018-03-04,16047
2018-03-11,33329
2018-03-18,34180
2018-03-25,28695
2018-04-01,26307
2018-04-08,27467
2018-04-15,29082
2018-04-22,30465
2018-04-29,31150
2018-05-06,29516
2018-05-13,33779
2018-05-20,39207
2018-05-27,32886
2018-06-03,33788
2018-06-10,33780
2018-06-17,38329
2018-06-24,42341
2018-07-01,42915
2018-07-08,41201
2018-07-15,39899
2018-07-22,28409
2018-07-29,25102
2018-08-05,31427
2018-08-12,40031
2018-08-19,35553
2018-08-26,33465
2018-09-02,33768
2018-09-09,32710
2018-09-16,31355
2018-09-23,23777
2018-09-30,24268
2018-10-07,26935
2018-10-14,28575
2018-10-21,25997
2018-10-28,24365
2018-11-04,23108
2018-11-11,22852
2018-11-18,22915
2018-11-25,22368
2018-12-02,19653
2018-12-09,19357
2018-12-16,17923
2018-12-23,17392
2018-12-30,15062
2019-01-06,12864
2019-01-13,11291
2019-01-20,10406
2019-01-27,9604
2019-02-03,9037
2019-02-10,9435
2019-02-17,9131
2019-02-24,9757
2019-03-03,12241
2019-03-10,25429
2019-03-17,33576
2019-03-24,29719
2019-03-31,28064
2019-04-07,29878
2019-04-14,32415
2019-04-21,33753
2019-04-28,35615
2019-05-05,34862
2019-05-12,41051
2019-05-19,43666
2019-05-26,34437
2019-06-02,38925
2019-06-09,39613
2019-06-16,38808
2019-06-23,36817
2019-06-30,39898
2019-07-07,39883
2019-07-14,38262
2019-07-21,25399
2019-07-28,21565
2019-08-04,27963
2019-08-11,37394
2019-08-18,35918
2019-08-25,34601
2019-09-01,34373
2019-09-08,32800
2019-09-15,34197
2019-09-22,27018
2019-09-29,25067
2019-10-06,30166
2019-10-13,28848
2019-10-20,22853
2019-10-27,18364
2019-11-03,14094
2019-11-10,13104
2019-11-17,14209
2019-11-24,15376
2019-12-01,17097
2019-12-08,18183
2019-12-15,16574
2019-12-22,15097
2019-12-29,13487
2020-01-05,12062
2020-01-12,11099
2020-01-19,10052
2020-01-26,9622
2020-02-02,9211
2020-02-09,9067
2020-02-16,9373
2020-02-23,9351
2020-03-01,10272
2020-03-08,19733
2020-03-15,15601
2020-03-22,4856
2020-03-29,3124
2020-04-05,2166
2020-04-12,1844
2020-04-19,1685
